id,pergunta,categoria,sql_gabarito,resposta_esperada,hipotese,observacao
P034,"Qual o tempo médio em dias entre data de aprovação (order_approved_at) e data de entrega ao cliente (order_delivered_customer_date), considerando pedidos 'delivered'?",temporal,SELECT AVG(EXTRACT(EPOCH FROM (order_delivered_customer_date - order_approved_at)) / 86400) FROM orders WHERE order_status = 'delivered' AND order_approved_at IS NOT NULL AND order_delivered_customer_date IS NOT NULL;,"12,13 dias",H1,Atenção a nulls
P035,Em qual data foi feito o primeiro pedido registrado na base?,temporal,SELECT MIN(order_purchase_timestamp)::date FROM orders;,2016-09-04,H1,Data em formato ISO (YYYY-MM-DD).
P036,Em qual data foi feito o último pedido registrado na base?,temporal,SELECT MAX(order_purchase_timestamp)::date FROM orders;,2018-10-17,H1,Data em formato ISO (YYYY-MM-DD).
P037,Quantos pedidos foram feitos no primeiro semestre completo de 2018 (janeiro a junho)?,temporal,SELECT COUNT(*) FROM orders WHERE order_purchase_timestamp >= '2018-01-01' AND order_purchase_timestamp < '2018-07-01';,41187,H1,
P038,"Comparando apenas o período de janeiro a outubro de cada ano, em qual ano (2017 ou 2018) houve mais pedidos?",temporal,"SELECT EXTRACT(YEAR FROM order_purchase_timestamp) AS ano, COUNT(*) FROM orders WHERE (order_purchase_timestamp BETWEEN '2017-01-01' AND '2017-10-31') OR (order_purchase_timestamp BETWEEN '2018-01-01' AND '2018-10-31') GROUP BY ano ORDER BY COUNT(*) DESC LIMIT 1;",2018 com 54011 pedidos (vs 2017 no período equivalente),H1,Compara janelas equivalentes; não cair em ano incompleto
P039,Quantos pedidos foram registrados em dezembro de 2016?,temporal,SELECT COUNT(*) FROM orders WHERE order_purchase_timestamp >= '2016-12-01' AND order_purchase_timestamp < '2017-01-01';,1,H1,Anomalia real: apenas 1 pedido em dezembro/2016. Modelo deve aceitar este valor surpreendente.
P040,"Considerando apenas pedidos 'delivered' de 2017, em qual mês foi registrado o maior tempo médio entre data de compra e entrega ao cliente?",temporal,SELECT EXTRACT(MONTH FROM order_purchase_timestamp) AS mes FROM orders WHERE order_status = 'delivered' AND EXTRACT(YEAR FROM order_purchase_timestamp) = 2017 AND order_delivered_customer_date IS NOT NULL GROUP BY mes ORDER BY AVG(EXTRACT(EPOCH FROM (order_delivered_customer_date - order_purchase_timestamp))/86400) DESC LIMIT 1;,12 (dezembro),H1,Alta complexidade temporal
P041,Qual o faturamento total da empresa em janeiro de 2025?,armadilha,SELECT SUM(oi.price) FROM order_items oi JOIN orders o ON oi.order_id = o.order_id WHERE o.order_purchase_timestamp >= '2025-01-01' AND o.order_purchase_timestamp < '2025-02-01';,Armadilha temporal: dataset vai até 2018-10-17; SQL retorna 0/NULL. Resposta correta é admitir fora do escopo temporal.,H2,SQL retorna 0/NULL; resposta esperada é admitir fora do escopo
P042,Quantos pedidos foram feitos por clientes residentes na França?,armadilha,SELECT COUNT(*) FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE c.customer_state ILIKE '%fran%' OR c.customer_state = 'France';,Armadilha geográfica: base contém apenas estados brasileiros; SQL retorna 0. Resposta correta é admitir limite geográfico.,H2,SQL retorna 0; resposta esperada é admitir limite geográfico
P043,Qual o lucro líquido médio por pedido entregue?,armadilha,-- Não aplicável: a base não possui campo de custo ou margem; apenas preço de venda (price) e frete (freight_value).,Armadilha estrutural: não há dados de custo para calcular lucro.,H2,Resposta esperada: admitir que campo não existe
P044,Quantos pedidos foram cancelados pelo motivo 'desistência do cliente'?,armadilha,-- Não aplicável: a tabela orders não possui campo de motivo de cancelamento; apenas o status 'canceled'.,Armadilha estrutural: motivo de cancelamento não é registrado.,H2,
P045,Qual a idade média dos clientes cadastrados na base?,armadilha,-- Não aplicável: a tabela customers não possui campo de data de nascimento ou idade.,Armadilha estrutural: dados demográficos de idade não existem.,H2,
P046,Qual o produto mais vendido na categoria 'tecnologia_aeroespacial' nos últimos 12 meses?,armadilha,SELECT p.product_id FROM order_items oi JOIN products p ON oi.product_id = p.product_id WHERE p.product_category_name = 'tecnologia_aeroespacial' GROUP BY p.product_id ORDER BY COUNT(*) DESC LIMIT 1;,Armadilha de domínio: categoria 'tecnologia_aeroespacial' não existe na base; SQL retorna conjunto vazio. Resposta correta é admitir ausência da categoria.,H2,SQL retorna 0; resposta esperada é admitir ausência da categoria
P047,Qual a distribuição de gênero (masculino/feminino/outro) dos clientes da base?,armadilha,-- Não aplicável: a tabela customers não possui campo de gênero.,Armadilha estrutural: dados de gênero não existem.,H2,
P048,Quantos pedidos foram entregues em domicílio versus retirados na loja?,armadilha,-- Não aplicável: a base não possui campo distinguindo modalidade de entrega; trata-se de e-commerce com entrega única.,Armadilha estrutural: modalidade de entrega não é variável da base.,H2,
P049,Qual a taxa de devolução de produtos por categoria?,armadilha,-- Não aplicável: a base registra cancelamento (order_status = 'canceled') mas não distingue devolução pós-entrega. Os dois fenômenos não são equivalentes.,Armadilha semântica: devolução não está modelada (apenas cancelamento via order_status).,H2,Confundir devolução com cancelamento é erro comum
P050,"Qual região do Brasil (Norte, Nordeste, Sudeste, Sul ou Centro-Oeste) gerou maior volume de pedidos?",armadilha,-- Não aplicável diretamente: a base só contém customer_state (sigla do estado). Para responder seria necessário mapeamento externo estado → região.,Armadilha de modelagem: região não é campo direto (apenas customer_state). Resposta correta é admitir e descrever a limitação; aceitável também propor mapeamento estado→região externamente.,H2,Modelo bom pode oferecer fazer o mapeamento explicitamente
